review_id,example_id,degradation_type,split,blind_label,true_method,prediction_path,manifest_path
review_00083,example_00122,grain,test,Output 00083,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00122_grain_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00084,example_00122,grain,test,Output 00084,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00122_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00085,example_00122,grain,test,Output 00085,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00122_grain_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00086,example_00047,grain,test,Output 00086,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00047_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00087,example_00047,grain,test,Output 00087,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00047_grain_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00088,example_00047,grain,test,Output 00088,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00047_grain_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00089,example_00047,grain,test,Output 00089,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00047_grain_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00090,example_00047,grain,test,Output 00090,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00047_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00091,example_00006,blur_contrast,test,Output 00091,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00006_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00092,example_00006,blur_contrast,test,Output 00092,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00006_blur_contrast_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00093,example_00006,blur_contrast,test,Output 00093,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00006_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00094,example_00006,blur_contrast,test,Output 00094,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00006_blur_contrast_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00095,example_00006,blur_contrast,test,Output 00095,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00006_blur_contrast_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00096,example_00027,blur_contrast,test,Output 00096,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00027_blur_contrast_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00097,example_00027,blur_contrast,test,Output 00097,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00027_blur_contrast_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
review_00098,example_00027,blur_contrast,test,Output 00098,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00027_blur_contrast_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00099,example_00027,blur_contrast,test,Output 00099,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00027_blur_contrast_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00100,example_00027,blur_contrast,test,Output 00100,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00027_blur_contrast_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00101,example_00005,grain,test,Output 00101,conditional_ddpm_v1_50_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\conditional_ddpm_v1_50_steps\example_00005_grain_conditional_ddpm_v1_50_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_50steps\prediction_manifest.csv
review_00102,example_00005,grain,test,Output 00102,conditional_ddpm_v1_100_steps,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\conditional_ddpm_v1_100_steps\example_00005_grain_conditional_ddpm_v1_100_steps_prediction.png,outputs\predictions\conditional_ddpm_nosferatu_v1_100steps\prediction_manifest.csv
review_00103,example_00005,grain,test,Output 00103,residual_ddpm_v1_full_test_50_steps,outputs\predictions\residual_ddpm_v1_full_test_50steps\residual_ddpm_v1_full_test_50_steps\example_00005_grain_residual_ddpm_v1_full_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_full_test_50steps\prediction_manifest.csv
review_00104,example_00005,grain,test,Output 00104,residual_ddpm_v1_conservative_test_50_steps,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\residual_ddpm_v1_conservative_test_50_steps\example_00005_grain_residual_ddpm_v1_conservative_test_50_steps_prediction.png,outputs\predictions\residual_ddpm_v1_conservative_test_50steps\prediction_manifest.csv
review_00105,example_00005,grain,test,Output 00105,conditional_ddpm_v3_splitaware_50_steps,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\conditional_ddpm_v3_splitaware_50_steps\example_00005_grain_conditional_ddpm_v3_splitaware_50_steps_prediction.png,outputs\predictions\conditional_ddpm_v3_splitaware_50steps\prediction_manifest.csv
